         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      179    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      238    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        9    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:919(create_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      222    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(RequestHistory)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(Url)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.233    0.233 DiskUsage.py:1(<module>)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:17(BuildNode)
      460    0.001    0.000    0.001    0.000 DiskUsage.py:173(getFormattedSize)
        1    0.006    0.006   16.963   16.963 DiskUsage.py:176(buildCustomTree)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:30(ProjectNode)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:49(customProjectNode)
      920    0.001    0.000    0.001    0.000 DiskUsage.py:55(__init__)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:65(DiskUsage)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:70(__init__)
        1    0.000    0.000    0.000    0.000 DiskUsage.py:74(getSubProjectsCount)
     89/1    0.034    0.000  448.380  448.380 DiskUsage.py:83(getAllBuildsArtsize)
        1    0.000    0.000    0.000    0.000 Teamcity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Teamcity.py:14(__init__)
