         8472894 function calls (8457698 primitive calls) in 465.529 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:32(CharSetGroupProber)
       20    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(__init__)
       20    0.000    0.000    0.000    0.000 charsetgroupprober.py:39(reset)
       20    0.000    0.000    0.000    0.000 charsetgroupprober.py:49(charset_name)
       10    0.000    0.000    0.000    0.000 charsetgroupprober.py:57(language)
       20    0.000    0.000    0.930    0.047 charsetgroupprober.py:65(feed)
       30    0.001    0.000    0.002    0.000 charsetgroupprober.py:85(get_confidence)
       10    0.121    0.012    0.135    0.013 charsetprober.py:103(filter_with_english_letters)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
      260    0.000    0.000    0.001    0.000 charsetprober.py:39(__init__)
      470    0.000    0.000    0.000    0.000 charsetprober.py:44(reset)
      380    0.000    0.000    0.000    0.000 charsetprober.py:54(state)
       10    0.000    0.000    0.000    0.000 charsetprober.py:58(get_confidence)
       10    0.000    0.000    0.033    0.003 charsetprober.py:61(filter_high_byte_only)
      130    0.001    0.000    0.481    0.004 charsetprober.py:66(filter_international_words)
     4198    0.013    0.000    0.537    0.000 client.py:1017(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
     4198    0.048    0.000    0.135    0.000 client.py:1071(putrequest)
    16792    0.062    0.000    0.119    0.000 client.py:1195(putheader)
     4198    0.006    0.000    0.544    0.000 client.py:1223(endheaders)
     4198    0.010    0.000    0.846    0.000 client.py:1236(request)
     4198    0.049    0.000    0.835    0.000 client.py:1241(_send_request)
    12594    0.007    0.000    0.011    0.000 client.py:1243(<genexpr>)
     4198    0.029    0.000  245.670    0.059 client.py:1287(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1355(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1411(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1416(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1419(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1422(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1427(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1430(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1433(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1448(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1451(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1454(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1457(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1460(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1467(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1472(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:164(HTTPMessage)
     4198    0.077    0.000    0.951    0.000 client.py:194(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:218(HTTPResponse)
     4198    0.023    0.000    0.118    0.000 client.py:227(__init__)
     4198    0.073    0.000  244.447    0.058 client.py:257(_read_status)
     4198    0.060    0.000  245.523    0.058 client.py:290(begin)
     4198    0.006    0.000    0.023    0.000 client.py:370(_check_close)
     4198    0.004    0.000    0.049    0.000 client.py:400(_close_conn)
     4198    0.050    0.000    0.130    0.000 client.py:405(close)
     4198    0.011    0.000    0.018    0.000 client.py:417(flush)
    12552    0.004    0.000    0.004    0.000 client.py:428(isclosed)
     9676    0.020    0.000    0.041    0.000 client.py:596(_safe_read)
        1    0.000    0.000    0.027    0.027 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:788(HTTPConnection)
     4198    0.005    0.000    0.006    0.000 client.py:804(_get_content_length)
        1    0.000    0.000    0.000    0.000 client.py:836(__init__)
        1    0.000    0.000    0.000    0.000 client.py:879(_get_hostport)
       82    0.000    0.000    0.000    0.000 client.py:942(close)
     4198    0.009    0.000    0.522    0.000 client.py:956(send)
    20990    0.009    0.000    0.012    0.000 client.py:995(_output)
        1    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:33(CodingStateMachine)
       80    0.000    0.000    0.000    0.000 codingstatemachine.py:55(__init__)
      240    0.000    0.000    0.000    0.000 codingstatemachine.py:63(reset)
   204470    0.134    0.000    0.134    0.000 codingstatemachine.py:66(next_state)
   203865    0.015    0.000    0.015    0.000 codingstatemachine.py:80(get_current_charlen)
        1    0.000    0.000    0.001    0.001 compat.py:2(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:22(<module>)
        1    0.000    0.000    0.018    0.018 compat.py:9(<module>)
        2    0.000    0.000    0.013    0.006 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:106(__init__)
        1    0.000    0.000    0.001    0.001 connection.py:107(_has_ipv6)
       42    0.000    0.000    0.438    0.010 connection.py:127(_new_conn)
       42    0.000    0.000    0.000    0.000 connection.py:154(_prepare_conn)
       42    0.000    0.000    0.438    0.010 connection.py:165(connect)
        1    0.000    0.000    0.000    0.000 connection.py:208(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:246(VerifiedHTTPSConnection)
       42    0.000    0.000    0.438    0.010 connection.py:36(create_connection)
        1    0.000    0.000    0.000    0.000 connection.py:65(DummyConnection)
     4197    0.011    0.000    0.223    0.000 connection.py:7(is_connection_dropped)
        1    0.000    0.000    0.000    0.000 connection.py:70(HTTPConnection)
       42    0.000    0.000    0.000    0.000 connection.py:88(_set_socket_options)
       42    0.000    0.000    0.000    0.000 connection.py:96(allowed_gai_family)
        1    0.000    0.000    0.073    0.073 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:162(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:202(_new_conn)
     4198    0.015    0.000    0.286    0.000 connectionpool.py:215(_get_conn)
     4198    0.015    0.000    0.096    0.000 connectionpool.py:253(_put_conn)
     4198    0.001    0.000    0.001    0.000 connectionpool.py:283(_validate_conn)
     8396    0.013    0.000    0.038    0.000 connectionpool.py:293(_get_timeout)
     4198    0.085    0.000  246.711    0.059 connectionpool.py:322(_make_request)
     4198    0.092    0.000  247.591    0.059 connectionpool.py:447(urlopen)
        1    0.000    0.000    0.000    0.000 connectionpool.py:58(ConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:67(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:737(HTTPSConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:889(_ipv6_host)
        1    0.000    0.000    0.000    0.000 connectionpool.py:98(HTTPConnectionPool)
        2    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
     4198    0.007    0.000    0.021    0.000 contextlib.py:157(helper)
     4198    0.010    0.000    0.014    0.000 contextlib.py:60(__init__)
     4198    0.004    0.000    0.007    0.000 contextlib.py:80(__enter__)
     4198    0.015    0.000    0.143    0.000 contextlib.py:86(__exit__)
     8396    0.012    0.000    0.018    0.000 cookiejar.py:1002(set_ok_domain)
     8396    0.002    0.000    0.002    0.000 cookiejar.py:1061(set_ok_port)
     8397    0.016    0.000    0.031    0.000 cookiejar.py:1200(vals_sorted_by_key)
     8397    0.010    0.000    0.041    0.000 cookiejar.py:1204(deepvalues)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1222(Absent)
        1    0.001    0.001    0.002    0.002 cookiejar.py:1224(CookieJar)
     8397    0.034    0.000    0.090    0.000 cookiejar.py:1239(__init__)
     4198    0.005    0.000    0.006    0.000 cookiejar.py:1268(_cookies_for_request)
     4198    0.007    0.000    0.014    0.000 cookiejar.py:1275(_cookie_attrs)
     8396    0.006    0.000    0.006    0.000 cookiejar.py:131(offset_from_tz_string)
     4198    0.030    0.000    0.097    0.000 cookiejar.py:1334(add_cookie_header)
    16792    0.070    0.000    0.076    0.000 cookiejar.py:1367(_normalized_cookie_tuples)
     8396    0.043    0.000    0.103    0.000 cookiejar.py:145(_str2time)
    16792    0.091    0.000    0.523    0.000 cookiejar.py:1464(_cookie_from_cookie_tuple)
    16792    0.027    0.000    0.627    0.000 cookiejar.py:1556(_cookies_from_attrs_set)
     8396    0.009    0.000    0.011    0.000 cookiejar.py:1565(_process_rfc2109_cookies)
     8396    0.058    0.000    1.191    0.000 cookiejar.py:1577(make_cookies)
     8396    0.021    0.000    0.026    0.000 cookiejar.py:1644(set_cookie)
     8396    0.064    0.000    1.821    0.000 cookiejar.py:1657(extract_cookies)
     8396    0.010    0.000    0.010    0.000 cookiejar.py:1671(clear)
     4198    0.012    0.000    0.035    0.000 cookiejar.py:1713(clear_expired_cookies)
     8397    0.007    0.000    0.007    0.000 cookiejar.py:1732(__iter__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1753(LoadError)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1755(FileCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1841(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1961(MozillaCookieJar)
     8396    0.035    0.000    0.220    0.000 cookiejar.py:223(http2time)
        1    0.000    0.000    0.008    0.008 cookiejar.py:26(<module>)
     8396    0.007    0.000    0.010    0.000 cookiejar.py:337(split_header_words)
     8396    0.007    0.000    0.013    0.000 cookiejar.py:448(strip_quotes)
     8396    0.117    0.000    0.397    0.000 cookiejar.py:455(parse_ns_headers)
    37782    0.008    0.000    0.008    0.000 cookiejar.py:46(_debug)
    25188    0.017    0.000    0.032    0.000 cookiejar.py:524(is_HDN)
     8396    0.018    0.000    0.044    0.000 cookiejar.py:539(domain_match)
    25188    0.047    0.000    0.294    0.000 cookiejar.py:609(request_host)
    16792    0.015    0.000    0.233    0.000 cookiejar.py:625(eff_request_host)
     8396    0.016    0.000    0.113    0.000 cookiejar.py:636(request_path)
    25188    0.032    0.000    0.179    0.000 cookiejar.py:666(escape_path)
     8396    0.014    0.000    0.036    0.000 cookiejar.py:680(reach)
     8396    0.020    0.000    0.243    0.000 cookiejar.py:715(is_third_party)
        1    0.000    0.000    0.000    0.000 cookiejar.py:732(Cookie)
     8396    0.019    0.000    0.047    0.000 cookiejar.py:75(_timegm)
     8396    0.032    0.000    0.049    0.000 cookiejar.py:750(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:830(CookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:863(DefaultCookiePolicy)
     8397    0.019    0.000    0.019    0.000 cookiejar.py:873(__init__)
     8396    0.003    0.000    0.003    0.000 cookiejar.py:913(is_blocked)
     8396    0.003    0.000    0.003    0.000 cookiejar.py:928(is_not_allowed)
     8396    0.051    0.000    0.488    0.000 cookiejar.py:936(set_ok)
     8396    0.006    0.000    0.006    0.000 cookiejar.py:955(set_ok_version)
     8396    0.012    0.000    0.263    0.000 cookiejar.py:970(set_ok_verifiability)
     8396    0.003    0.000    0.003    0.000 cookiejar.py:982(set_ok_name)
     8396    0.010    0.000    0.122    0.000 cookiejar.py:991(set_ok_path)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
     8396    0.003    0.000    0.003    0.000 cookies.py:105(__init__)
    16792    0.003    0.000    0.003    0.000 cookies.py:112(info)
     8396    0.029    0.000    1.965    0.000 cookies.py:119(extract_cookies_to_jar)
        1    0.000    0.000    0.002    0.002 cookies.py:127(<module>)
     4198    0.014    0.000    0.225    0.000 cookies.py:136(get_cookie_header)
        1    0.000    0.000    0.000    0.000 cookies.py:150(CookieError)
        1    0.000    0.000    0.000    0.000 cookies.py:166(CookieConflictError)
        1    0.000    0.000    0.000    0.000 cookies.py:170(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:172(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:259(Morsel)
        1    0.000    0.000    0.000    0.000 cookies.py:26(MockRequest)
     8396    0.022    0.000    0.051    0.000 cookies.py:344(set_cookie)
    12594    0.035    0.000    0.220    0.000 cookies.py:38(__init__)
     8396    0.008    0.000    0.051    0.000 cookies.py:46(get_host)
        1    0.000    0.000    0.000    0.000 cookies.py:483(BaseCookie)
     8396    0.005    0.000    0.056    0.000 cookies.py:49(get_origin_req_host)
     8397    0.025    0.000    0.147    0.000 cookies.py:503(cookiejar_from_dict)
     4199    0.004    0.000    0.028    0.000 cookies.py:515(<listcomp>)
    33584    0.030    0.000    0.089    0.000 cookies.py:52(get_full_url)
        1    0.000    0.000    0.000    0.000 cookies.py:623(SimpleCookie)
     8396    0.002    0.000    0.002    0.000 cookies.py:66(is_unverifiable)
     4198    0.002    0.000    0.002    0.000 cookies.py:82(get_new_headers)
     8396    0.006    0.000    0.008    0.000 cookies.py:85(unverifiable)
     8396    0.005    0.000    0.062    0.000 cookies.py:89(origin_req_host)
        1    0.000    0.000    0.000    0.000 cookies.py:98(MockResponse)
     8396    0.013    0.000    0.016    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:14(DeprecatedBundleWarning)
        1    0.000    0.000    0.000    0.000 core.py:16(IDNAError)
        1    0.000    0.000    0.000    0.000 core.py:21(IDNABidiError)
        1    0.000    0.000    0.000    0.000 core.py:21(where)
        1    0.000    0.000    0.000    0.000 core.py:26(InvalidCodepoint)
        1    0.000    0.000    0.000    0.000 core.py:31(InvalidCodepointContext)
        1    0.000    0.000    0.000    0.000 core.py:9(<module>)
        6    0.000    0.000    0.000    0.000 cp1251.py:18(encode)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
       10    0.000    0.000    0.000    0.000 cp949prober.py:35(__init__)
       20    0.000    0.000    0.000    0.000 cp949prober.py:43(charset_name)
       20    0.000    0.000    0.000    0.000 cp949prober.py:47(language)
        1    0.000    0.000    0.000    0.000 datetime.py:1023(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1048(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1360(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1368(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1949(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:1972(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:261(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:278(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:291(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:308(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:336(timedelta)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:530(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:658(date)
        2    0.000    0.000    0.000    0.000 datetime.py:688(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:953(tzinfo)
        1    0.000    0.000    0.004    0.004 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
     3591    0.012    0.000    0.076    0.000 decoder.py:334(decode)
     3591    0.050    0.000    0.050    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:178(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:416(Bytecode)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       15    0.001    0.000    0.002    0.000 enum.py:124(__new__)
       15    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       15    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       47    0.000    0.000    0.000    0.000 enum.py:179(<genexpr>)
      164    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
     3470    0.001    0.000    0.006    0.000 enum.py:265(__call__)
      202    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       15    0.000    0.000    0.000    0.000 enum.py:310(__getattr__)
       15    0.000    0.000    0.000    0.000 enum.py:335(__members__)
      268    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
      202    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       12    0.000    0.000    0.002    0.000 enum.py:364(_create_)
       42    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:43(_make_class_unpicklable)
       15    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
     3458    0.002    0.000    0.002    0.000 enum.py:515(__new__)
      205    0.000    0.000    0.000    0.000 enum.py:592(name)
       10    0.000    0.000    0.000    0.000 enum.py:597(value)
       12    0.000    0.000    0.003    0.000 enum.py:602(_convert)
       12    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      100    0.000    0.000    0.000    0.000 enum.py:628(<lambda>)
       15    0.000    0.000    0.000    0.000 enum.py:65(__init__)
      202    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       10    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
       10    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      165    0.000    0.000    0.001    0.000 enum.py:795(__or__)
     1522    0.002    0.000    0.004    0.000 enum.py:801(__and__)
       95    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
       10    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
       10    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
       27    0.000    0.000    0.000    0.000 enum.py:866(<lambda>)
      115    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.000    0.000 enums.py:17(LanguageFilter)
        1    0.000    0.000    0.000    0.000 enums.py:32(ProbingState)
        1    0.000    0.000    0.000    0.000 enums.py:41(MachineState)
        1    0.000    0.000    0.000    0.000 enums.py:5(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:50(SequenceLikelihood)
      280    0.000    0.000    0.000    0.000 enums.py:59(get_num_categories)
        1    0.000    0.000    0.000    0.000 enums.py:65(CharacterCategory)
        1    0.000    0.000    0.000    0.000 enums.py:8(InputState)
        1    0.000    0.000    0.001    0.001 error.py:12(<module>)
        1    0.000    0.000    0.000    0.000 error.py:23(URLError)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:77(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errors.py:101(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:104(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:78(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:84(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:87(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.001    0.001 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:35(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:36(EUCJPProber)
       10    0.000    0.000    0.000    0.000 eucjpprober.py:37(__init__)
       20    0.000    0.000    0.000    0.000 eucjpprober.py:44(reset)
       20    0.000    0.000    0.000    0.000 eucjpprober.py:48(charset_name)
       20    0.000    0.000    0.000    0.000 eucjpprober.py:52(language)
       20    0.000    0.000    0.000    0.000 eucjpprober.py:89(get_confidence)
        1    0.000    0.000    0.000    0.000 euckrfreq.py:41(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:34(EUCKRProber)
       10    0.000    0.000    0.000    0.000 euckrprober.py:35(__init__)
       20    0.000    0.000    0.000    0.000 euckrprober.py:41(charset_name)
       20    0.000    0.000    0.000    0.000 euckrprober.py:45(language)
        1    0.000    0.000    0.000    0.000 euctwfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:33(EUCTWProber)
       10    0.000    0.000    0.000    0.000 euctwprober.py:34(__init__)
       20    0.000    0.000    0.000    0.000 euctwprober.py:40(charset_name)
       20    0.000    0.000    0.000    0.000 euctwprober.py:44(language)
        1    0.000    0.000    0.045    0.045 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:100(RetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:104(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:108(ReadTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:110(RequestsWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:115(ConnectTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:115(FileModeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:12(RequestException)
        1    0.000    0.000    0.000    0.000 exceptions.py:120(NewConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:120(RequestsDependencyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:125(EmptyPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(HTTPWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:130(ClosedPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:135(LocationValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:140(LocationParseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:150(ResponseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:156(SecurityWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:161(SubjectAltNameWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:166(InsecureRequestWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:171(SystemTimeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:176(InsecurePlatformWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(PoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:181(SNIMissingWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:186(DependencyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:194(ResponseNotChunked)
        1    0.000    0.000    0.000    0.000 exceptions.py:199(BodyNotHttplibCompatible)
        1    0.000    0.000    0.000    0.000 exceptions.py:207(IncompleteRead)
        1    0.000    0.000    0.000    0.000 exceptions.py:223(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:228(ProxySchemeUnknown)
        1    0.000    0.000    0.000    0.000 exceptions.py:237(HeaderParsingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:244(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:28(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:29(RequestError)
        1    0.000    0.000    0.000    0.000 exceptions.py:32(ConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:36(ProxyError)
        2    0.000    0.000    0.000    0.000 exceptions.py:40(SSLError)
        1    0.000    0.000    0.000    0.000 exceptions.py:44(Timeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:45(ProxyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:50(DecodeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(ConnectTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:55(ProtocolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:60(ReadTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:64(URLRequired)
        1    0.000    0.000    0.000    0.000 exceptions.py:66(MaxRetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:68(TooManyRedirects)
        1    0.000    0.000    0.000    0.000 exceptions.py:72(MissingSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:76(InvalidSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:80(InvalidURL)
        1    0.000    0.000    0.000    0.000 exceptions.py:84(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(HostChangedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:88(ChunkedEncodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:92(ContentDecodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:94(TimeoutStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:96(StreamConsumedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:99(TimeoutError)
     4198    0.027    0.000    0.075    0.000 feedparser.py:101(push)
     8396    0.007    0.000    0.011    0.000 feedparser.py:122(pushlines)
     8396    0.001    0.000    0.001    0.000 feedparser.py:125(__iter__)
    42021    0.022    0.000    0.057    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
     4198    0.034    0.000    0.072    0.000 feedparser.py:139(__init__)
     4198    0.009    0.000    0.556    0.000 feedparser.py:173(feed)
     8396    0.013    0.000    0.502    0.000 feedparser.py:178(_call_parse)
     4198    0.011    0.000    0.099    0.000 feedparser.py:184(close)
     4198    0.010    0.000    0.015    0.000 feedparser.py:197(_new_message)
        1    0.000    0.000    0.020    0.020 feedparser.py:20(<module>)
     4198    0.005    0.000    0.007    0.000 feedparser.py:210(_pop_message)
